id;time;change;insert_time;fk_measurement_station_id
41018;2022-05-09 09:40:08.536400 +00:00;1;2022-05-09 09:40:08.809414 +00:00;2
41019;2022-05-09 09:40:17.277277 +00:00;-1;2022-05-09 09:40:17.665971 +00:00;2
41020;2022-05-09 09:40:18.656864 +00:00;-1;2022-05-09 09:40:18.949281 +00:00;2
41021;2022-05-09 09:40:21.475698 +00:00;-1;2022-05-09 09:40:26.741394 +00:00;2
41022;2022-05-09 09:40:24.442375 +00:00;-1;2022-05-09 09:40:26.903707 +00:00;2
41023;2022-05-09 09:40:26.740355 +00:00;-1;2022-05-09 09:40:27.164639 +00:00;2
41024;2022-05-09 09:40:36.905925 +00:00;1;2022-05-09 09:40:37.140004 +00:00;2
41025;2022-05-09 09:40:37.879620 +00:00;1;2022-05-09 09:40:38.080148 +00:00;2
41026;2022-05-09 09:40:42.264653 +00:00;1;2022-05-09 09:40:42.643252 +00:00;2
41027;2022-05-09 09:40:43.929650 +00:00;-1;2022-05-09 09:40:44.125701 +00:00;2
41028;2022-05-09 09:41:33.541289 +00:00;1;2022-05-09 09:41:34.125223 +00:00;2
41029;2022-05-09 09:41:43.259204 +00:00;1;2022-05-09 09:41:43.617679 +00:00;2
41030;2022-05-09 09:41:43.779551 +00:00;-1;2022-05-09 09:41:44.022822 +00:00;2
41031;2022-05-09 09:41:46.466901 +00:00;-1;2022-05-09 09:41:46.730636 +00:00;2
41032;2022-05-09 09:42:11.135174 +00:00;-1;2022-05-09 09:42:11.449367 +00:00;2
41033;2022-05-09 09:42:11.406550 +00:00;-1;2022-05-09 09:42:11.585667 +00:00;6
41034;2022-05-09 09:42:11.518036 +00:00;1;2022-05-09 09:42:11.714700 +00:00;2
41035;2022-05-09 09:42:13.357397 +00:00;1;2022-05-09 09:42:13.761435 +00:00;2
41036;2022-05-09 09:42:28.202487 +00:00;1;2022-05-09 09:42:28.566253 +00:00;2
41037;2022-05-09 09:42:28.857645 +00:00;1;2022-05-09 09:42:29.088569 +00:00;2
41038;2022-05-09 09:42:31.129786 +00:00;-1;2022-05-09 09:42:31.483069 +00:00;2
41039;2022-05-09 09:42:44.927474 +00:00;1;2022-05-09 09:42:45.201430 +00:00;2
41040;2022-05-09 09:42:58.265216 +00:00;1;2022-05-09 09:42:58.940310 +00:00;2
41041;2022-05-09 09:43:00.508601 +00:00;1;2022-05-09 09:43:00.668082 +00:00;6
41042;2022-05-09 09:43:03.820383 +00:00;-1;2022-05-09 09:43:04.024103 +00:00;2
41043;2022-05-09 09:43:04.653330 +00:00;1;2022-05-09 09:43:05.097300 +00:00;2
41044;2022-05-09 09:43:15.797170 +00:00;-1;2022-05-09 09:43:16.411919 +00:00;2
41045;2022-05-09 09:43:16.108143 +00:00;1;2022-05-09 09:43:16.577410 +00:00;2
41046;2022-05-09 09:43:20.544686 +00:00;1;2022-05-09 09:43:21.136675 +00:00;2
41047;2022-05-09 09:43:27.471085 +00:00;1;2022-05-09 09:43:28.311085 +00:00;2
41048;2022-05-09 09:43:38.766567 +00:00;1;2022-05-09 09:43:38.980113 +00:00;2
41049;2022-05-09 09:43:39.222098 +00:00;1;2022-05-09 09:43:39.719315 +00:00;2
41050;2022-05-09 09:43:46.016321 +00:00;-1;2022-05-09 09:43:46.349148 +00:00;2
41051;2022-05-09 09:43:46.542561 +00:00;1;2022-05-09 09:43:46.740407 +00:00;2
41052;2022-05-09 09:43:56.572374 +00:00;1;2022-05-09 09:43:56.863252 +00:00;2
41053;2022-05-09 09:44:00.984671 +00:00;-1;2022-05-09 09:44:01.169896 +00:00;6
41054;2022-05-09 09:44:04.606530 +00:00;1;2022-05-09 09:44:04.803523 +00:00;6
41055;2022-05-09 09:44:08.600360 +00:00;1;2022-05-09 09:44:08.899043 +00:00;2
41056;2022-05-09 09:44:22.294964 +00:00;-1;2022-05-09 09:44:22.870680 +00:00;2
41057;2022-05-09 09:44:24.672843 +00:00;1;2022-05-09 09:44:25.142119 +00:00;2
41058;2022-05-09 09:44:30.372524 +00:00;1;2022-05-09 09:44:30.867024 +00:00;2
41059;2022-05-09 09:44:36.771214 +00:00;-1;2022-05-09 09:44:37.157553 +00:00;2
41060;2022-05-09 09:44:42.666095 +00:00;1;2022-05-09 09:44:43.393582 +00:00;2
41061;2022-05-09 09:44:45.112265 +00:00;-1;2022-05-09 09:44:45.324884 +00:00;2
41062;2022-05-09 09:44:45.546439 +00:00;1;2022-05-09 09:44:45.977987 +00:00;2
41063;2022-05-09 09:44:48.726593 +00:00;1;2022-05-09 09:44:49.089528 +00:00;2
41064;2022-05-09 09:44:50.043755 +00:00;-1;2022-05-09 09:44:50.287209 +00:00;2
41065;2022-05-09 09:44:50.499531 +00:00;1;2022-05-09 09:44:50.837383 +00:00;2
41066;2022-05-09 09:45:05.835557 +00:00;1;2022-05-09 09:45:06.481331 +00:00;2
41067;2022-05-09 09:45:10.746487 +00:00;1;2022-05-09 09:45:10.931826 +00:00;6
